Name,Type,State,County,Latitude,Longitude
Kila Primary School,PRI,Western Equatoria,Mvolo,6.84115,30.757931
Killanya Primary School,PRI,Eastern Equatoria,Budi,4.384568525,32.86773956
Kigwo Lower Primary School,PRI,Central Equatoria,Kajo-Keji,3.872217,31.7355
Killingo Primary School,PRI,Central Equatoria,Lainya,4.4084,30.95735
Kak Luol Primary School,PRI,Northern Bahr el Ghazal,Aweil North,9.180385,26.94400482
Kolcum Primary School,PRI,Lakes,Rumbek East,6.5136,29.8647
Kololo Primary School,PRI,Eastern Equatoria,Magwi,3.587067,32.068851
Khiir Malei Primary School,PRI,Jonglei,Twic East,7.4321195,31.3767055
Kimba Primary School,PRI,Central Equatoria,Morobo,3.5763,30.856968
Kom-Ngol Primary School,PRI,Warrap,Tonj North,8.11995,28.393749
Kombi Primary School,PRI,Lakes,Wulu,6.797332216,29.99964754
Komchuk Primary School,PRI,Upper Nile,Maiwut,8.63915,33.8339
Kuemduok Primary School.,PRI,Jonglei,Old Fangak,9.3455105,30.762006
Khatire Mixed Primary School,PRI,Eastern Equatoria,Ikotos,4.272265292,33.19093292
Kumagon Primary School,PRI,Unity,Ruweng,9.978117,29.919567
