school_name,name_capital letter,"name_en,C,80",school_type1,school_type2,school_type3,school_type4,school_type5,"building,C,80","operator_t,C,80",operator_type,"capacity_p,C,80","addr_full,C,80","addr_city,C,80","source,C,80","osm_id,N,18,0","osm_type,C,80"
Kaya Primary School,Kaya Primary School,,0,Primary School,0,0,0,,,0,,,Agugwe,www.ubos.org,4011877443,nodes
Kendra Primary School,Kendra Primary School,,0,Primary School,0,0,0,,,0,,,Pamangara,www.ubos.org,4011877446,nodes
Kerwa Primary School,Kerwa Primary School,,0,Primary School,0,0,0,,,0,,,Cinyi East,www.ubos.org,4011863908,nodes
Kerwa Secondary School,Kerwa Secondary School,,0,0,0,Secondary School,0,,,0,,,Alu,www.ubos.org,4011863907,nodes
Kilaji Primary School,Kilaji Primary School,,0,Primary School,0,0,0,,,0,,,Besia,www.ubos.org,4011863910,nodes
Koloa Primary School,Koloa Primary School,,0,Primary School,0,0,0,,,0,,,Aringa East,www.ubos.org,4011863913,nodes
Kolokolo Primary School,Kolokolo Primary School,,0,Primary School,0,0,0,,,0,,,Erepi South,www.ubos.org,4011863914,nodes
Kololo Community Primary School,Kololo Community Primary School,,0,Primary School,0,0,0,,,0,,,Oyajo,www.ubos.org,4011863912,nodes
Kongolo Primary School,Kongolo Primary School,,0,Primary School,0,0,0,,,0,,,Erepi South,www.ubos.org,4011863915,nodes
Koromula primary school,Koromula Primary School,,0,Primary School,0,0,0,,,0,,,Pamoju East,www.ubos.org,4011863918,nodes
Kotobi secondary school,Kotobi Secondary School,,0,0,0,Secondary School,0,,,0,,,Maduga,www.ubos.org,4011863919,nodes
Kotobi vocational center,Kotobi Vocational Center,,0,0,0,0,Other or Unknown,,,0,,,Pamoju West,www.ubos.org,4011863927,nodes
Kulundu primary School,Kulundu Primary School,,0,Primary School,0,0,0,,,0,,,Lokwa,www.ubos.org,4011863932,nodes
Kyeyo Primary School,Kyeyo Primary School,,0,Primary School,0,0,0,,,0,,,Pamenyua,www.ubos.org,4011863934,nodes
Ladder kindergarten and primary school,Ladder Kindergarten And Primary School,,0,Primary School,0,0,0,,,0,,,Bilinyo,www.ubos.org,4011863935,nodes
Lafon Primary School,Lafon Primary School,,0,Primary School,0,0,0,,,0,,,Minze,www.ubos.org,4011863930,nodes
Lama Primary School,Lama Primary School,,0,Primary School,0,0,0,,,0,,,Parego,www.ubos.org,4011863933,nodes
Lamuribenge Vocational School,Lamuribenge Vocational School,,0,0,0,0,Other or Unknown,,,0,,,Maduga,www.ubos.org,4011863936,nodes
Lamwoka Primary School,Lamwoka Primary School,,0,Primary School,0,0,0,,,0,,,Maduga,www.ubos.org,4011863937,nodes
Lechu Primary School,Lechu Primary School,,0,Primary School,0,0,0,,,0,,,Elenderea,www.ubos.org,4011863940,nodes
Ledingwa primary school,Ledingwa Primary School,,0,Primary School,0,0,0,,,0,,,Metu Tr.centre,www.ubos.org,4011863942,nodes
Lekuangole Primary School,Lekuangole Primary School,,0,Primary School,0,0,0,,,0,,,Ramogi,www.ubos.org,4011863943,nodes
Lendrewa primary school,Lendrewa Primary School,,0,Primary School,0,0,0,,,0,,,Moyipi,www.ubos.org,4011863945,nodes
